country,year,eur_million
CZ,2012,23190.24278622232
DE,2012,105380.06187331243
DK,2012,11652.281491219546
EE,2012,4460.353141359207
EL,2012,33384.92179945881
ES,2012,87217.27529127998
FI,2012,9597.860316358398
FR,2012,100925.88388581816
HR,2012,327.4303741915884
HU,2012,20976.200140160774
IE,2012,11713.133874648009
IT,2012,81013.53311902932
LT,2012,8746.150548564208
LU,2012,4028.958739540585
LV,2012,5555.548769388438
MT,2012,731.9722175341096
NL,2012,19589.00550774447
PL,2012,78410.55999984073
PT,2012,34921.03820285597
RO,2012,17136.819108621676
SE,2012,13816.0958474369
SI,2012,4923.593255986533
SK,2012,11779.051457290008
AT,2013,14125.873122844898
BE,2013,29610.162389814588
BG,2013,9647.419953858307
CY,2013,1364.2439305817193
CZ,2013,25250.701110914513
DE,2013,116013.01986131878
DK,2013,12043.988041538185
EE,2013,4594.314665872178
EL,2013,37703.99860403571
ES,2013,85912.52279367944
FI,2013,10687.823385836376
FR,2013,111592.63045515573
HR,2013,1319.972562821094
HU,2013,28699.91417334669
IE,2013,11739.896866201641
IT,2013,90996.3816961339
LT,2013,9078.812466985588
LU,2013,4379.4582398448865
LV,2013,5131.292311610619
MT,2013,913.7663428149018
NL,2013,21286.427494735435
PL,2013,81044.46436838238
PT,2013,31536.406511034864
RO,2013,26969.5509830267
SE,2013,15342.075987685335
SI,2013,4385.398315709711
SK,2013,10573.001159487525
AT,2014,12439.256610207836
BE,2014,29039.769167831273
BG,2014,11116.851941604265
CY,2014,1560.5155834020027
CZ,2014,23936.24671827337
DE,2014,108194.1178874039
DK,2014,11739.962710782464
EE,2014,3485.716294767996
EL,2014,37749.85685050877
ES,2014,75735.22391843668
FI,2014,8585.049793021462
FR,2014,104388.99320580804
HR,2014,3379.5531458383557
HU,2014,33572.62352559836
IE,2014,10649.343488626733
IT,2014,79632.0345198042
LT,2014,9468.11978336926
LU,2014,4775.876949843442
LV,2014,5584.846604010485
MT,2014,1325.0926777719333
NL,2014,23870.04665838013
PL,2014,90539.1222909104
PT,2014,26348.393803676674
RO,2014,30562.034156754547
SE,2014,15765.058736159452
SI,2014,6078.014595329192
SK,2014,9259.605787377353
AT,2015,13019.8897807312
BE,2015,29315.6640378899
BG,2015,13367.631676757801
CY,2015,1345.4422334908202
CZ,2015,37598.65252920425
DE,2015,104591.77195515629
DK,2015,11820.227662721456
EE,2015,2345.5811992982703
EL,2015,31917.508719267105
ES,2015,83699.03145833791
FI,2015,9193.264764097115
FR,2015,108040.7501242975
HR,2015,3323.9133060659965
HU,2015,28887.922692684017
IE,2015,12408.533770670585
IT,2015,87090.65217676698
LT,2015,4661.340044099149
LU,2015,4603.32479451352
LV,2015,5081.21981586812
MT,2015,779.4273856441154
NL,2015,24595.758013262013
PL,2015,71281.02131813964
PT,2015,15066.817870056244
RO,2015,32009.903559857354
SE,2015,14108.654400141359
SI,2015,5158.15852893141
SK,2015,19594.275426272685
